Chromosome 1,400,white 16,black 9,white 23,black 13,white 7,black 10,white 7,black 12,white 21,black 61,white 34,black 33,white 32,black 8,centromere 10,grey 46,white 27,black 14,white 17,black 17,white 18,black 48,white 42,black 26,white 18,black 15,white 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 1,550,white 15,black 9,white 22,black 13,white 6,black 9,white 7,black 12,white 12,black 4,white 4,black 21,white 1,black 37,white 13,black 6,white 12,black 33,white 16,black 6,white 8,black 7,centromere 10,grey 45,white 6,black 8,white 11,black 13,white 16,black 17,white 16,black 47,white 27,black 6,white 6,black 25,white 9,black 5,white 2,black 14,white 11,,,,,,,,,,,,,,,,,,,,
Chromosome 1,850,white 3,black 2,white 9,black 3,white 1,black 3,white 10,black 2,white 9,black 5,white 1,black 6,white 6,black 8,white 7,black 11,white 12,black 2,white 4,black 21,white 1,black 35,white 13,black 6,white 12,black 9,grey 1,black 21,white 16,black 6,white 8,black 7,centromere 10,grey 46,white 6,black 8,white 11,black 14,white 4,black 8,white 3,black 9,grey 1,black 6,white 5,black 4,white 5,black 30,white 1,black 16,white 28,black 6,white 6,black 25,grey 1,black 2,white 6,black 5,white 3,black 15,white 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 2,400,white 17,black 18,white 24,black 21,white 20,black 30,white 11,black 12,white 22,black 21,white 18,centromere 10,white 13,black 16,white 13,black 14,white 4,black 13,white 25,black 27,white 13,black 35,white 25,black 20,white 2,black 14,white 22,black 17,white 15,black 19,white 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 2,550,white 4,black 3,white 8,black 16,white 24,black 20,white 19,black 29,white 10,black 12,white 22,black 19,white 18,centromere 10,white 12,black 15,white 12,black 13,white 4,black 11,white 9,black 1,white 12,black 27,white 12,black 13,grey 2,black 16,white 24,black 20,white 1,black 12,white 22,black 14,white 15,black 18,white 16,black 3,white 15,,,,,,,,,,,,,,,,,,,,,,
Chromosome 2,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 3,550,black 10,white 15,black 11,white 2,black 11,white 8,black 12,white 33,black 9,white 2,black 18,white 12,black 37,white 1,centromere 10,grey 11,black 1,grey 1,white 5,black 18,white 5,black 22,white 20,black 13,white 10,black 26,white 6,black 2,white 8,black 18,white 3,black 17,white 12,black 14,white 11,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 3,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 4,550,white 31,black 18,white 5,black 14,white 16,black 12,white 8,centromere 10,white 15,black 15,white 2,black 10,white 11,black 7,white 10,black 19,white 4,black 19,white 8,black 28,white 13,black 31,white 16,black 8,white 12,black 25,white 8,black 17,white 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 4,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 5,550,white 19,black 9,white 8,black 32,white 8,black 4,white 7,black 10,centromere 10,white 20,black 15,white 13,black 4,white 9,black 31,white 9,black 32,white 10,black 12,white 4,black 18,white 16,black 6,white 15,black 17,white 3,black 4,white 3,black 22,white 7,black 3,white 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 5,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 6,550,white 13,black 11,white 15,black 17,white 1,black 10,white 26,black 5,white 15,black 24,white 1,centromere 10,black 21,white 8,black 17,white 10,black 15,white 1,black 11,white 26,black 17,white 2,black 23,white 6,black 5,white 6,black 26,white 7,black 6,white 6,black 12,white 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 6,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 7,550,white 15,black 31,white 10,black 2,white 10,black 19,white 12,black 15,white 7,centromere 10,white 8,black 8,white 23,black 23,white 2,black 16,white 24,black 12,white 5,black 30,white 18,black 11,white 8,black 12,white 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 8,550,white 2,black 5,white 12,black 21,white 5,black 4,white 8,black 24,white 12,centromere 10,white 3,black 2,white 4,black 19,white 19,black 23,white 4,black 25,white 13,black 3,white 12,black 30,white 24,black 9,white 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 9,550,white 13,black 19,white 3,black 10,white 19,black 13,centromere 10,grey 35,white 5,black 18,white 2,black 19,white 11,black 7,white 21,black 22,white 9,black 15,white 20,black 5,white 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 10,550,white 16,black 15,white 16,black 14,white 1,black 9,white 21,centromere 10,white 19,black 27,white 2,black 17,white 16,black 3,white 16,black 13,white 1,black 12,white 6,black 3,white 10,black 11,white 1,black 13,white 15,black 4,white 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromosome 11,550,white 21,black 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
